🎯 ALL 430 PERIPHERAL ACCESSES - COMPLETE LIST
=============================================================

📋 PART 1: BOARD_InitHardware() - 124 accesses
289. XSPI_EnableInterrupts write XSPI2 MCR 0x40411000 fsl_xspi.h:1418
290. XSPI_DisableInterrupts read XSPI2 MCR 0x40411000 fsl_xspi.h:1429
291. XSPI_DisableInterrupts write XSPI2 MCR 0x40411000 fsl_xspi.h:1429
292. XSPI_DisableInterrupts read XSPI2 MCR 0x40411000 fsl_xspi.h:1430
293. XSPI_DisableInterrupts write XSPI2 MCR 0x40411000 fsl_xspi.h:1430
294. XSPI_ClearIPAccessSeqPoin read XSPI2 MCR 0x40411000 fsl_xspi.h:1905
295. XSPI_ClearIPAccessSeqPoin write XSPI2 MCR 0x40411000 fsl_xspi.h:1905
296. XSPI_WriteBlocking write XSPI2 MCR 0x40411000 fsl_xspi.c:1546
297. XSPI_WriteBlocking read XSPI2 MCR 0x40411000 fsl_xspi.c:1550
298. XSPI_WriteBlocking read XSPI2 MCR 0x40411000 fsl_xspi.c:1561
299. XSPI_WriteBlocking write XSPI2 MCR 0x40411000 fsl_xspi.c:1564
300. XSPI_WriteBlocking read XSPI2 MCR 0x40411000 fsl_xspi.c:1581
301. XSPI_WriteBlocking write XSPI2 MCR 0x40411000 fsl_xspi.c:1584
302. XSPI_WriteBlocking write XSPI2 MCR 0x40411000 fsl_xspi.c:1591
303. XSPI_CheckTxBuffLockOpen read XSPI2 MCR 0x40411000 fsl_xspi.h:1681
304. XSPI_ReadBlocking read XSPI2 MCR 0x40411000 fsl_xspi.c:1615
305. XSPI_ReadBlocking read XSPI2 MCR 0x40411000 fsl_xspi.c:1632
306. XSPI_ReadBlocking read XSPI2 MCR 0x40411000 fsl_xspi.c:1632
307. XSPI_ReadBlocking read XSPI2 MCR 0x40411000 fsl_xspi.c:1637
308. XSPI_ReadBlocking read XSPI2 MCR 0x40411000 fsl_xspi.c:1639
309. XSPI_ReadBlocking write XSPI2 MCR 0x40411000 fsl_xspi.c:1642
310. XSPI_ReadBlocking read XSPI2 MCR 0x40411000 fsl_xspi.c:1657
311. XSPI_ReadBlocking read XSPI2 MCR 0x40411000 fsl_xspi.c:1670
312. XSPI_ReadBlocking read XSPI2 MCR 0x40411000 fsl_xspi.c:1685
313. XSPI_ReadBlocking read XSPI2 MCR 0x40411000 fsl_xspi.c:1695
314. XSPI_CheckFSMValid read XSPI2 MCR 0x40411000 fsl_xspi.h:1976
315. XSPI_GetRxBufferAvailable read XSPI2 MCR 0x40411000 fsl_xspi.h:1779
316. XSPI_GetRxBufferRemovedBy read XSPI2 MCR 0x40411000 fsl_xspi.h:1791
317. XSPI_TriggerRxBufferPopEv write XSPI2 MCR 0x40411000 fsl_xspi.h:1732
318. XSPI_TransferBlocking read XSPI2 MCR 0x40411000 fsl_xspi.c:1734
319. XSPI_TransferBlocking read XSPI2 MCR 0x40411000 fsl_xspi.c:1740
320. XSPI_TransferBlocking read XSPI2 MCR 0x40411000 fsl_xspi.c:1848
321. XSPI_ResetTgQueue read XSPI2 MCR 0x40411000 fsl_xspi.h:1160
322. XSPI_ResetTgQueue write XSPI2 MCR 0x40411000 fsl_xspi.h:1160
323. XSPI_SetAhbAccessBoundary read XSPI2 MCR 0x40411000 fsl_xspi.c:2050
324. XSPI_SetAhbAccessBoundary write XSPI2 MCR 0x40411000 fsl_xspi.c:2050
325. XSPI_SetAhbReadDataSeqId read XSPI2 MCR 0x40411000 fsl_xspi.c:2083
326. XSPI_SetAhbReadDataSeqId write XSPI2 MCR 0x40411000 fsl_xspi.c:2083
327. XSPI_SetAhbWriteDataSeqId read XSPI2 MCR 0x40411000 fsl_xspi.c:2115
328. XSPI_SetAhbWriteDataSeqId write XSPI2 MCR 0x40411000 fsl_xspi.c:2115
329. XSPI_SetAhbBufferConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:2173
330. XSPI_SetAhbBufferConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:2179
331. XSPI_SetAhbBufferConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:2179
332. XSPI_SetAhbBufferConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:2184
333. XSPI_SetAhbBufferConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:2184
334. XSPI_SetAhbBufferConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:2190
335. XSPI_SetAhbBufferConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:2190
336. XSPI_SetAhbBufferConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:2201
337. XSPI_SetAhbBufferConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:2201
338. XSPI_SetAhbBufferConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:2214
339. XSPI_UpdateAhbBufferSize write XSPI2 MCR 0x40411000 fsl_xspi.c:2664
340. XSPI_UpdateAhbBufferSize write XSPI2 MCR 0x40411000 fsl_xspi.c:2665
341. XSPI_UpdateAhbBufferSize write XSPI2 MCR 0x40411000 fsl_xspi.c:2666
342. XSPI_EnableAhbBufferPerfM read XSPI2 MCR 0x40411000 fsl_xspi.c:2705
343. XSPI_EnableAhbBufferPerfM write XSPI2 MCR 0x40411000 fsl_xspi.c:2712
344. XSPI_SetAhbAccessSplitSiz read XSPI2 MCR 0x40411000 fsl_xspi.c:2264
345. XSPI_SetAhbAccessSplitSiz write XSPI2 MCR 0x40411000 fsl_xspi.c:2264
346. XSPI_SetAhbAccessSplitSiz read XSPI2 MCR 0x40411000 fsl_xspi.c:2268
347. XSPI_SetAhbAccessSplitSiz write XSPI2 MCR 0x40411000 fsl_xspi.c:2268
348. XSPI_SetAhbAccessSplitSiz read XSPI2 MCR 0x40411000 fsl_xspi.c:2269
349. XSPI_SetAhbAccessSplitSiz write XSPI2 MCR 0x40411000 fsl_xspi.c:2269
350. XSPI_UpdateAhbHreadyTimeO write XSPI2 MCR 0x40411000 fsl_xspi.c:2300
351. XSPI_SetAhbErrorPayload write XSPI2 MCR 0x40411000 fsl_xspi.c:2332
352. XSPI_SetAhbErrorPayload write XSPI2 MCR 0x40411000 fsl_xspi.c:2333
353. XSPI_ReturnAhbReadErrorIn read XSPI2 MCR 0x40411000 fsl_xspi.c:2349
354. XSPI_ReturnAhbReadErrorIn read XSPI2 MCR 0x40411000 fsl_xspi.c:2350
355. XSPI_GetAhbRequestSuspend read XSPI2 MCR 0x40411000 fsl_xspi.c:2366
356. XSPI_GetAhbRequestSuspend read XSPI2 MCR 0x40411000 fsl_xspi.c:2382
357. XSPI_EnableAhbBufferWrite read XSPI2 MCR 0x40411000 fsl_xspi.c:2417
358. XSPI_EnableAhbBufferWrite write XSPI2 MCR 0x40411000 fsl_xspi.c:2417
359. XSPI_EnableAhbBufferWrite read XSPI2 MCR 0x40411000 fsl_xspi.c:2421
360. XSPI_EnableAhbBufferWrite write XSPI2 MCR 0x40411000 fsl_xspi.c:2421
361. XSPI_BlockAccessAfterAhbW read XSPI2 MCR 0x40411000 fsl_xspi.c:2472
362. XSPI_BlockAccessAfterAhbW write XSPI2 MCR 0x40411000 fsl_xspi.c:2476
363. XSPI_SelectPPWFlagClearPo read XSPI2 MCR 0x40411000 fsl_xspi.c:2513
364. XSPI_SelectPPWFlagClearPo write XSPI2 MCR 0x40411000 fsl_xspi.c:2513
365. XSPI_SelectPPWFlagClearPo read XSPI2 MCR 0x40411000 fsl_xspi.c:2517
366. XSPI_SelectPPWFlagClearPo write XSPI2 MCR 0x40411000 fsl_xspi.c:2517
367. XSPI_UpdatePageWaitTimeCo read XSPI2 MCR 0x40411000 fsl_xspi.c:2546
368. XSPI_UpdatePageWaitTimeCo write XSPI2 MCR 0x40411000 fsl_xspi.c:2551
369. XSPI_SetAhbReadStatusRegS read XSPI2 MCR 0x40411000 fsl_xspi.c:2586
370. XSPI_SetAhbReadStatusRegS write XSPI2 MCR 0x40411000 fsl_xspi.c:2586
371. XSPI_GetAhbSubBufferStatu read XSPI2 MCR 0x40411000 fsl_xspi.c:2690
372. XSPI_EnableAhbReadPrefetc read XSPI2 MCR 0x40411000 fsl_xspi.h:2470
373. XSPI_EnableAhbReadPrefetc write XSPI2 MCR 0x40411000 fsl_xspi.h:2470
374. XSPI_EnableAhbReadPrefetc read XSPI2 MCR 0x40411000 fsl_xspi.h:2474
375. XSPI_EnableAhbReadPrefetc write XSPI2 MCR 0x40411000 fsl_xspi.h:2474
376. XSPI_CommonIRQHandler write XSPI2 MCR 0x40411000 fsl_xspi.c:2805
377. XSPI_CommonIRQHandler write XSPI2 MCR 0x40411000 fsl_xspi.c:2813
378. XSPI_CommonIRQHandler write XSPI2 MCR 0x40411000 fsl_xspi.c:2842
379. XSPI_CommonIRQHandler write XSPI2 MCR 0x40411000 fsl_xspi.c:2848
380. XSPI_CommonIRQHandler write XSPI2 MCR 0x40411000 fsl_xspi.c:2863
381. XSPI_CommonIRQHandler read XSPI2 MCR 0x40411000 fsl_xspi.c:2884
382. XSPI_CommonIRQHandler read XSPI2 MCR 0x40411000 fsl_xspi.c:2896
383. XSPI_CommonIRQHandler read XSPI2 MCR 0x40411000 fsl_xspi.c:2910
384. XSPI_CommonIRQHandler read XSPI2 MCR 0x40411000 fsl_xspi.c:2918
385. XSPI_Cache64_EnableCache read XSPI2 MCR 0x40411000 fsl_xspi.c:3000
386. XSPI_Cache64_EnableCache read XSPI2 MCR 0x40411000 fsl_xspi.c:3006
387. XSPI_Cache64_EnableCache write XSPI2 MCR 0x40411000 fsl_xspi.c:3006
388. XSPI_Cache64_InvalidateCa read XSPI2 MCR 0x40411000 fsl_xspi.c:3036
389. XSPI_Cache64_InvalidateCa write XSPI2 MCR 0x40411000 fsl_xspi.c:3036
390. XSPI_Cache64_InvalidateCa read XSPI2 MCR 0x40411000 fsl_xspi.c:3039
391. XSPI_Cache64_InvalidateCa read XSPI2 MCR 0x40411000 fsl_xspi.c:3044
392. XSPI_Cache64_InvalidateCa write XSPI2 MCR 0x40411000 fsl_xspi.c:3044
393. XSPI_Cache64_DisableCache read XSPI2 MCR 0x40411000 fsl_xspi.c:3018
394. XSPI_Cache64_DisableCache read XSPI2 MCR 0x40411000 fsl_xspi.c:3024
395. XSPI_Cache64_DisableCache write XSPI2 MCR 0x40411000 fsl_xspi.c:3024
396. XSPI_Cache64_CleanCache read XSPI2 MCR 0x40411000 fsl_xspi.c:3102
397. XSPI_Cache64_CleanCache write XSPI2 MCR 0x40411000 fsl_xspi.c:3102
398. XSPI_Cache64_CleanCache read XSPI2 MCR 0x40411000 fsl_xspi.c:3105
399. XSPI_Cache64_CleanCache read XSPI2 MCR 0x40411000 fsl_xspi.c:3110
400. XSPI_Cache64_CleanCache write XSPI2 MCR 0x40411000 fsl_xspi.c:3110
401. XSPI_Cache64_InvalidateCa read XSPI2 MCR 0x40411000 fsl_xspi.c:3077
402. XSPI_Cache64_InvalidateCa write XSPI2 MCR 0x40411000 fsl_xspi.c:3078
403. XSPI_Cache64_InvalidateCa write XSPI2 MCR 0x40411000 fsl_xspi.c:3083
404. XSPI_Cache64_InvalidateCa read XSPI2 MCR 0x40411000 fsl_xspi.c:3086
405. XSPI_Cache64_CleanCacheBy read XSPI2 MCR 0x40411000 fsl_xspi.c:3143
406. XSPI_Cache64_CleanCacheBy write XSPI2 MCR 0x40411000 fsl_xspi.c:3144
407. XSPI_Cache64_CleanCacheBy write XSPI2 MCR 0x40411000 fsl_xspi.c:3149
408. XSPI_Cache64_CleanCacheBy read XSPI2 MCR 0x40411000 fsl_xspi.c:3152
409. XSPI_Cache64_CleanInvalid read XSPI2 MCR 0x40411000 fsl_xspi.c:3168
410. XSPI_Cache64_CleanInvalid write XSPI2 MCR 0x40411000 fsl_xspi.c:3168
411. XSPI_Cache64_CleanInvalid read XSPI2 MCR 0x40411000 fsl_xspi.c:3172
412. XSPI_Cache64_CleanInvalid read XSPI2 MCR 0x40411000 fsl_xspi.c:3177
413. XSPI_Cache64_CleanInvalid write XSPI2 MCR 0x40411000 fsl_xspi.c:3177
414. XSPI_Cache64_CleanInvalid read XSPI2 MCR 0x40411000 fsl_xspi.c:3211
415. XSPI_Cache64_CleanInvalid write XSPI2 MCR 0x40411000 fsl_xspi.c:3212
416. XSPI_Cache64_CleanInvalid write XSPI2 MCR 0x40411000 fsl_xspi.c:3217
417. XSPI_Cache64_CleanInvalid read XSPI2 MCR 0x40411000 fsl_xspi.c:3220
418. XSPI_Cache64_ReadCache read XSPI2 MCR 0x40411000 fsl_xspi.c:3241
419. XSPI_Cache64_ReadCache write XSPI2 MCR 0x40411000 fsl_xspi.c:3241
420. XSPI_Cache64_ReadCache read XSPI2 MCR 0x40411000 fsl_xspi.c:3242
421. XSPI_Cache64_ReadCache write XSPI2 MCR 0x40411000 fsl_xspi.c:3242
422. XSPI_Cache64_ReadCache write XSPI2 MCR 0x40411000 fsl_xspi.c:3244
423. XSPI_Cache64_ReadCache read XSPI2 MCR 0x40411000 fsl_xspi.c:3245
424. XSPI_Cache64_ReadCache read XSPI2 MCR 0x40411000 fsl_xspi.c:3248
425. XSPI_Cache64_SetRegionCon write XSPI2 MCR 0x40411000 fsl_xspi.c:3290
426. XSPI_Cache64_SetRegionCon write XSPI2 MCR 0x40411000 fsl_xspi.c:3291
427. XSPI_Cache64_SetRegionCon write XSPI2 MCR 0x40411000 fsl_xspi.c:3293
428. XSPI_ClearCmdExecutionArb write XSPI2 MCR 0x40411000 fsl_xspi.h:1615
429. XSPI_GetErrorStatusFlags read XSPI2 MCR 0x40411000 fsl_xspi.h:1514
430. XSPI_GetCmdExecutionArbit read XSPI2 MCR 0x40411000 fsl_xspi.h:1604

🎯 TOTAL: 430 peripheral accesses
